epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,460.679,1.38715,3.62122,1.2732,0.59698,1,0.995,0.79651,0.87844,7.36454,0.86592,4e-05,4e-05,4e-05
2,955.132,0.90108,1.98688,0.98018,0.99222,1,0.995,0.66866,1.17088,2.25797,0.8763,9.505e-05,9.505e-05,9.505e-05
3,1547.2,1.14923,1.59823,1.11419,0.98483,1,0.995,0.63499,1.39677,3.02011,0.97954,0.00014416,0.00014416,0.00014416
4,2102.88,1.07153,1.71237,0.97385,0.06473,1,0.995,0.67482,1.1201,21.8749,0.85889,0.00018733,0.00018733,0.00018733
5,2583.73,0.98343,1.50446,0.9929,0.75825,0.88889,0.72633,0.48442,1.19766,4.25346,0.94071,0.00022456,0.00022456,0.00022456
6,3127.94,1.02999,1.08041,0.99116,1,0.66667,0.7753,0.50751,1.05623,9.33752,0.99383,0.00025585,0.00025585,0.00025585
7,3638.88,0.98718,1.12306,0.99501,0.98021,0.77778,0.7753,0.52025,1.20995,2.46064,1.11336,0.0002812,0.0002812,0.0002812
8,4084.5,0.96282,1.11105,0.96531,0.01127,0.66667,0.01191,0.00831,1.18437,476.14,1.11527,0.00030061,0.00030061,0.00030061
9,4590.42,0.96313,1.0634,1.04723,0.07407,0.22222,0.06716,0.04803,1.56031,61.3896,1.62223,0.00031408,0.00031408,0.00031408
10,5059.9,1.02859,0.93618,1.03294,0.07442,0.22222,0.02039,0.01515,2.01221,109.304,2.08077,0.00032161,0.00032161,0.00032161
11,5539.4,0.90096,0.90782,0.93606,0.00208,0.22222,0.00151,0.00094,2.05401,6614.3,2.05466,0.0003232,0.0003232,0.0003232
12,6033.02,0.89483,0.94292,0.94451,0.00157,0.22222,0.00092,0.0006,2.47234,6696.77,3.85379,0.00031885,0.00031885,0.00031885
13,6530.97,0.91462,0.96749,0.98775,0.00402,0.66667,0.00343,0.0025,1.60878,3085.87,4.20316,0.00030856,0.00030856,0.00030856
14,6993.13,0.91254,0.8967,0.97753,0.00682,0.66667,0.00547,0.00389,1.67544,1466.4,3.60562,0.00029233,0.00029233,0.00029233
15,7420.57,0.94594,0.82176,0.94986,0.16286,0.77778,0.61296,0.44998,1.10826,7.14355,1.04387,0.00027016,0.00027016,0.00027016
16,7867.63,0.73483,0.69644,0.86901,0.21655,0.77778,0.78261,0.57681,1.05361,9.27829,1.02653,0.00024205,0.00024205,0.00024205
17,8345.24,0.79219,0.65752,0.87432,0.78827,1,0.995,0.68399,1.12592,5.97735,1.01215,0.000208,0.000208,0.000208
18,8814.37,0.85746,0.69948,0.89454,0.99156,1,0.995,0.69395,1.10217,2.48922,0.97553,0.00016801,0.00016801,0.00016801
19,9264.74,0.79587,0.62645,0.9168,0.96538,1,0.995,0.68115,1.09826,1.78731,0.98396,0.00012208,0.00012208,0.00012208
20,9732.85,0.84849,0.59841,0.98991,0.99341,1,0.995,0.68593,1.08356,1.4099,0.97665,7.021e-05,7.021e-05,7.021e-05
